[PC Hunter Standard][[League of Legends.exe]╫ЬЁлоъЁл(90)]: 90
оъЁлId		ETHREAD		Teb		сеох╪╤		оъЁлхК©з		дё©И		гп╩╩╢нйЩ		оъЁлв╢л╛
4112		0xFFFFFA801D844B50		0x0000000000000000		22		0x0000000057FEA670		XAudio2_7.dll		8286		жуж╧
6332		0xFFFFFA801DE01B50		0x0000000000000000		22		0x0000000057FEA670		XAudio2_7.dll		11027		жуж╧
6500		0xFFFFFA801CF17600		0x0000000000000000		15		0x000000007460A3E0		winmm.dll		6		жуж╧
5068		0xFFFFFA801AB296B0		0x0000000000000000		8		0x0000000074CEC631		WININET.dll		39		жуж╧
4492		0xFFFFFA801DE08060		0x0000000000000000		9		0x0000000006AB909B		TenSLX.dll		1678		жуж╧
4544		0xFFFFFA801D55B060		0x0000000000000000		11		0x0000000006AB909B		TenSLX.dll		279		жуж╧
6952		0xFFFFFA801C7F6060		0x0000000000000000		11		0x0000000006AAFF30		TenSLX.dll		30		жуж╧
3364		0xFFFFFA801DA11710		0x0000000000000000		10		0x00000000577CA870		TenRPCS.dll		39		жуж╧
6396		0xFFFFFA801EC1C060		0x0000000000000000		10		0x00000000577CC4F0		TenRPCS.dll		22		жуж╧
6448		0xFFFFFA801E651060		0x0000000000000000		10		0x00000000577CC3C0		TenRPCS.dll		6		жуж╧
6520		0xFFFFFA801C7C0060		0x0000000000000000		10		0x000000005793AC33		TenRPCS.dll		5		жуж╧
6616		0xFFFFFA801E6515A0		0x0000000000000000		10		0x00000000577CC850		TenRPCS.dll		74		жуж╧
4968		0xFFFFFA801CA527A0		0x0000000000000000		8		0x0000000057CCD760		tcj.dll		5		жуж╧
6276		0xFFFFFA801AAAFB50		0x00000000FFF7C000		10		0x0000000057CFD511		tcj.dll		8041		╣х╢Щ
6284		0xFFFFFA801CC03800		0x0000000000000000		10		0x0000000057CFD511		tcj.dll		15		жуж╧
6288		0xFFFFFA801944F4A0		0x0000000000000000		10		0x0000000057CFD511		tcj.dll		27		жуж╧
1324		0xFFFFFA801C9AF5C0		0x0000000000000000		11		0x00000000074A0C59		SOGOUPY.IME		4		жуж╧
3572		0xFFFFFA801D3D9B50		0x0000000000000000		10		0x00000000074A0C59		SOGOUPY.IME		1821		жуж╧
